#Meteorological data for Loobos (from PALS), 1997-.
#1 years of 30 minute data.
#    Down  Down      Rainfall      Snowfall     Air       Wind                 Specific
#    SWR   LWR        rate           rate      temp.      speed     Pressure   humidity
# (W m-2) (W m-2)  (kg m-2 s-1) (kg m-2 s-1)   (K)       (m s-1) )   (Pa)      (kg kg-1)
    0.0  225.9     0.000e+00     0.000e+00   261.440     2.777     100994.6   1.349e-03
    0.0  226.2     0.000e+00     0.000e+00   261.540     2.711     100994.7   1.353e-03
    0.0  226.6     0.000e+00     0.000e+00   261.690     2.635     100994.9   1.366e-03
    0.0  227.5     0.000e+00     0.000e+00   261.960     2.468     100995.3   1.385e-03
    0.0  228.4     0.000e+00     0.000e+00   262.300     2.376     100995.7   1.398e-03
    0.0  228.2     0.000e+00     0.000e+00   262.290     2.376     100995.7   1.367e-03
    0.0  228.7     0.000e+00     0.000e+00   262.450     2.382     100995.9   1.373e-03
    0.0  229.6     0.000e+00     0.000e+00   262.730     2.388     100996.2   1.406e-03
    0.3  230.8     0.000e+00     0.000e+00   263.100     2.403     100996.7   1.438e-03
    6.2  231.8     0.000e+00     0.000e+00   263.460     2.375     100997.1   1.456e-03
   18.0  232.3     0.000e+00     0.000e+00   263.650     2.397     100997.4   1.452e-03
   38.8  233.1     0.000e+00     0.000e+00   263.930     2.923     100997.7   1.460e-03
   49.2  234.4     0.000e+00     0.000e+00   264.330     2.847     100998.2   1.499e-03
   71.5  235.9     0.000e+00     0.000e+00   264.770     2.866     100998.8   1.564e-03
   75.0  237.5     0.000e+00     0.000e+00   265.250     2.866     100999.4   1.622e-03
   88.9  238.6     0.000e+00     0.000e+00   265.610     2.880     100999.8   1.655e-03
   76.0  239.4     0.000e+00     0.000e+00   265.850     2.866     101000.1   1.682e-03
  107.3  240.0     0.000e+00     0.000e+00   266.070     2.840     101000.4   1.691e-03
  113.2  240.6     0.000e+00     0.000e+00   266.260     2.506     101000.6   1.698e-03
  110.5  241.2     0.000e+00     0.000e+00   266.430     2.351     101000.8   1.721e-03
  100.3  241.9     0.000e+00     0.000e+00   266.650     2.477     101001.1   1.741e-03
   32.0  241.6     0.000e+00     0.000e+00   266.550     2.656     101000.9   1.746e-03
   23.5  242.0     0.000e+00     0.000e+00   266.660     2.535     101001.1   1.766e-03
    9.7  242.4     0.000e+00     0.000e+00   266.780     2.818     101001.2   1.773e-03
    0.4  242.4     0.000e+00     0.000e+00   266.790     2.829     101001.2   1.767e-03
    0.0  241.8     0.000e+00     0.000e+00   266.610     2.811     101001.0   1.754e-03
    0.0  241.9     0.000e+00     0.000e+00   266.610     4.020     101001.0   1.763e-03
    0.0  241.4     0.000e+00     0.000e+00   266.450     3.460     101000.8   1.755e-03
    0.0  242.0     0.000e+00     0.000e+00   266.580     3.680     101001.0   1.796e-03
    0.0  242.5     0.000e+00     0.000e+00   266.680     3.940     101001.1   1.843e-03
    0.0  243.1     0.000e+00     0.000e+00   266.830     4.690     101001.3   1.881e-03
    0.0  243.4     0.000e+00     0.000e+00   266.870     4.630     101001.3   1.915e-03
    0.0  243.4     0.000e+00     0.000e+00   266.800     2.829     101001.2   1.937e-03
    0.0  243.6     0.000e+00     0.000e+00   266.820     2.829     101001.3   1.964e-03
    0.0  244.0     0.000e+00     0.000e+00   266.940     2.720     101001.4   1.992e-03
    0.0  244.9     0.000e+00     0.000e+00   267.190     2.456     101001.7   2.028e-03
    0.0  245.5     0.000e+00     0.000e+00   267.330     2.423     101001.9   2.062e-03
    0.0  245.9     0.000e+00     0.000e+00   267.420     2.406     101002.0   2.099e-03
    0.0  246.3     0.000e+00     0.000e+00   267.490     2.384     101002.1   2.137e-03
    0.0  246.6     0.000e+00     0.000e+00   267.520     2.359     101002.1   2.169e-03
    0.0  246.8     0.000e+00     0.000e+00   267.540     2.333     101002.1   2.195e-03
    0.0  246.9     0.000e+00     0.000e+00   267.560     2.310     101002.2   2.213e-03
    0.0  247.2     0.000e+00     0.000e+00   267.600     2.290     101002.2   2.238e-03
    0.0  247.5     0.000e+00     0.000e+00   267.670     2.273     101002.3   2.267e-03
